Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified,Year,Month,post_oct7
2025-09-08,OPT,PSE,Gaza Strip,31.3084659,34.2865698,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118658,2025-10-11,2025-10-11,2025,9,1
2025-09-07,OPT,PSE,Gaza Strip,31.3511,34.2934,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118712,2025-10-12,2025-10-12,2025,9,1
2025-09-06,OPT,PSE,Gaza Strip,31.3443293,34.3095897,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118657,2025-10-11,2025-10-11,2025,9,1
2025-09-06,OPT,PSE,Gaza Strip,31.2964478969,34.2833491629,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118675,2025-10-11,2025-10-14,2025,9,1
2025-09-06,OPT,PSE,Gaza Strip,31.3511,34.2934,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118709,2025-10-12,2025-10-12,2025,9,1
2025-09-06,OPT,PSE,Gaza Strip,31.3511,34.2934,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118713,2025-10-12,2025-10-12,2025,9,1
2025-09-06,OPT,PSE,Gaza Strip,31.5417,34.5196,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118723,2025-10-12,2025-10-13,2025,9,1
2025-09-06,OPT,PSE,Gaza Strip,31.4705461623,34.432179348,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118799,2025-10-14,2025-10-14,2025,9,1
2025-09-06,OPT,PSE,Gaza Strip,31.5740038975,34.4816188473,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118806,2025-10-14,2025-10-14,2025,9,1
2025-09-06,OPT,PSE,Gaza Strip,31.460003388,34.4181056993,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118870,2025-10-16,2025-10-16,2025,9,1
2025-09-05,OPT,PSE,Gaza Strip,31.3443293,34.3095897,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118656,2025-10-11,2025-10-11,2025,9,1
2025-09-05,OPT,PSE,Gaza Strip,31.2990881558,34.2814754192,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118668,2025-10-11,2025-10-14,2025,9,1
2025-09-05,OPT,PSE,Gaza Strip,31.3511,34.2934,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118708,2025-10-12,2025-10-12,2025,9,1
2025-09-04,OPT,PSE,Gaza Strip,31.2993081741,34.2848978478,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118667,2025-10-11,2025-10-14,2025,9,1
2025-09-04,OPT,PSE,Gaza Strip,31.3785739914,34.3673022875,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118800,2025-10-14,2025-10-14,2025,9,1
2025-09-11,OPT,PSE,Gaza Strip,31.534,34.4574,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,Attack On a Market/Restaurant/Supermarket/Bakery,117926,2025-10-05,2025-10-05,2025,9,1
2025-09-03,OPT,PSE,Gaza Strip,31.3314,34.3004,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Shelling,Food Production,Damage/Destruction Of Agricultural Land,117867,2025-10-05,2025-10-05,2025,9,1
2025-09-03,OPT,PSE,Gaza Strip,31.2929274365,34.2498674442,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118666,2025-10-11,2025-10-14,2025,9,1
2025-09-03,OPT,PSE,Gaza Strip,31.2979147165,34.287815151,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118689,2025-10-12,2025-10-12,2025,9,1
2025-09-02,OPT,PSE,Gaza Strip,31.2979147165,34.287815151,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118660,2025-10-11,2025-10-11,2025,9,1
2025-09-02,OPT,PSE,Gaza Strip,31.54977,34.5024697,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118716,2025-10-12,2025-10-12,2025,9,1
2025-09-02,OPT,PSE,Gaza Strip,31.4705461623,34.432179348,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118801,2025-10-14,2025-10-14,2025,9,1
2025-09-01,OPT,PSE,Gaza Strip,31.2929274365,34.2498674442,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118664,2025-10-11,2025-10-14,2025,9,1
2025-09-01,OPT,PSE,Gaza Strip,31.3511,34.2934,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118715,2025-10-12,2025-10-12,2025,9,1
2025-09-01,OPT,PSE,Gaza Strip,31.3008482874,34.2883282546,"(4) Province, State, Governorate",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118765,2025-10-13,2025-10-14,2025,9,1
2025-09-01,OPT,PSE,Gaza Strip,31.4552454215,34.4146725351,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118815,2025-10-14,2025-10-14,2025,9,1
2025-08-31,OPT,PSE,Gaza Strip,31.2830204,34.2805069,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,No Information on the Weapon Used,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117260,2025-09-28,2025-10-06,2025,8,1
2025-08-31,OPT,PSE,Gaza Strip,31.4532680142,34.4101895664,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117519,2025-10-02,2025-10-03,2025,8,1
2025-08-31,OPT,PSE,Gaza Strip,31.298428098,34.2860983093,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118662,2025-10-11,2025-10-14,2025,8,1
2025-08-31,OPT,PSE,Gaza Strip,31.4705461623,34.432179348,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118803,2025-10-14,2025-10-14,2025,8,1
2025-08-30,OPT,PSE,Gaza Strip,31.298428098,34.2860983093,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117006,2025-09-24,2025-10-11,2025,8,1
2025-09-10,OPT,PSE,Gaza Strip,31.4389,34.3815,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,Attack On a Market/Restaurant/Supermarket/Bakery,117921,2025-10-05,2025-10-05,2025,9,1
2025-08-30,OPT,PSE,Gaza Strip,31.5475269027,34.4892203251,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117517,2025-10-02,2025-10-03,2025,8,1
