Date,Country,Country ISO,Admin 1,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Location of Incident,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Occupation of Health Facility,Vicinity of Health Facility Affected,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Stolen/Hijacked,"Affects Access to Medicines, Vaccines And Other Health Products",Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Conflict-Related Violence,Political-Related Violence,COVID-19-Related Violence,Ebola-Related Violence,Vaccination-Related Violence,Attacks on Emergency Medical Services,Polio-Related Violence,Children's Health Services Affected,Attacks On Children's Hospitals,Women's Health Services Affected,Hospital Utilities Affected,SiND Event ID,Date Event Entered,Date Event Modified,Access Denied or Obstructed,Looting/Theft/Robbery/Burglary of Health Supplies
2025-11-17,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123117,2026-01-18,2026-02-01,,
2025-11-16,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123115,2026-01-18,2026-02-01,,
2025-11-16,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,Checkpoint,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123836,2026-01-29,2026-02-04,,
2025-11-13,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,0,0,0,0,0,0,False,0,0,0,2,NoInformation,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122610,2026-01-08,2026-01-28,,
2025-11-13,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122710,2026-01-14,2026-02-04,,
2025-11-06,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,0,0,1,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123838,2026-01-29,2026-02-04,,
2025-11-03,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,AttacksOnEmergencyMedicalServices,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,120612,2025-12-03,2025-12-14,,
2025-11-02,OPT,PSE,Gaza Strip,censored,Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Health Building,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,120568,2025-12-02,2025-12-13,,
2025-11-02,OPT,PSE,Gaza Strip,censored,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,0,0,0,0,0,0,False,0,1,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,120569,2025-12-02,2026-01-22,,
2025-11-02,OPT,PSE,West Bank,censored,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,120611,2025-12-03,2025-12-14,,
